,,,,,,,,,,,,,,
,qc_id,식당이�,시도,시군구,주소,카테고�,카테��,경도,위도,x,y,방문횟�,auxiliary_,auxiliar_1
,4572,한우애,충청남도,보령시,충청남도 보령시 동대로 28 1층 한우애,한식,,1266148485,363554504,126.6148485,36.3554504,64,,
,8303,한우애,전라북도,고창군,전북특별자치도 고창군 고창읍 보릿골로 91,한식,"육류,고기요리",1266952593,354334531,126.6952593,35.4334531,64,,
,8604,한우애,경기도,파주시,경기도 파주시 번영로 27 대하마트밑에 위치,한식,소고기구이,1267702143,377575770,126.7702143,37.757577,64,,
,11726,대구숯불동산,경북,의성군,경상북도 의성군 안계면 안계길 120-5,한식,"육류,고기요리",1284393230,363839029,128.439323,36.3839029,64,,
,15,한끼샐러드홍천점,강원도,홍천군,강원특별자치도 홍천군 홍천읍 꽃뫼로1길 1,분식,"다이어트,샐러드",1278787045,376908760,127.8787045,37.690876,63,,
,1647,이화원,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로 152 1층 이화원,중식,중식당,1266790938,366577742,126.6790938,36.6577742,63,,
,1726,이화원,충청남도,당진시,충청남도 당진시 신평면 서해로 7135,중식,중식당,1267690456,368831093,126.7690456,36.8831093,63,,
,1959,이화원,강원도,철원군,강원특별자치도 철원군 동송읍 이평로34번길 15,중식,중식당,1272196655,382106968,127.2196655,38.2106968,63,,
,12050,두깨비 감자탕,강원도,양양군,강원특별자치도 양양군 강현면 장산1길 7 두깨비 감자탕,한식,감자탕,1285990238,381464646,128.5990238,38.1464646,63,,
,714,홍성한우,경기도,수원시,경기도 수원시 장안구 수성로364번길 33 1층 홍성한우,육류,정육식당,1270127542,372921422,127.0127542,37.2921422,62,,
,2960,마음이음,경기도,수원시,경기도 수원시 장안구 장안로359번길 20 카페 마음이음,카페,,1269852758,373125035,126.9852758,37.3125035,62,,
,4746,태흥갈비,전라북도,고창군,전북특별자치도 고창군 고창읍 중앙로 306-4,한식,,1267088239,354343823,126.7088239,35.4343823,62,,
,5584,흥돈,전라남도,고흥군,전라남도 고흥군 고흥읍 흥양길 51 1층,한식,,1272838545,346112054,127.2838545,34.6112054,62,,
,11808,이가네곰탕,경상남도,창녕군,경상남도 창녕군 창녕읍 창녕대로 29,한식,"곰탕,설렁탕",1284916582,355410655,128.4916582,35.5410655,62,,
,12717,이가네곰탕,강원도,동해시,강원특별자치도 동해시 평릉1길 19,한식,"곰탕,설렁탕",1291025986,375289100,129.1025986,37.52891,62,,
,2452,철구짬뽕,경상북도,청송군,경상북도 청송군 진보면 진보로 173 철구짬뽕,중식,중식당,1290507950,365289317,129.050795,36.5289317,61,,
,7305,박진사댁해장국,전남,진도군,전라남도 진도군 진도읍 남문길 54-14,한식,해장국,1262643212,344835029,126.2643212,34.4835029,61,,
,10306,장수명품관,전북특별자치도,장수군,전북특별자치도 장수군 장수읍 군청길 19,한식,소고기구이,1275196166,356466932,127.5196166,35.6466932,61,,
,4182,다미식당,전라남도,고흥군,전라남도 고흥군 두원면 두원로 477,한식,,1272735318,346458917,127.2735318,34.6458917,60,,
,5092,다미식당,전라남도,나주시,전라남도 나주시 남평읍 나주호로 556,한식,,1268726724,349703453,126.8726724,34.9703453,60,,
,5462,다미식당,전라북도,순창군,전북특별자치도 순창군 순창읍 옥천로 34,한식,,1271406579,353756931,127.1406579,35.3756931,60,,
,5607,다미식당,전라남도,곡성군,전라남도 곡성군 곡성읍 중앙로 126,한식,,1272962606,352816247,127.2962606,35.2816247,60,,
,848,두찜,경상북도,청송군,경상북도 청송군 진보면 진안남1길 3-1 두찜 청송진보점,육류,찜닭,1290456332,365280909,129.0456332,36.5280909,59,,
,10845,시동순대,강원,홍천군,강원특별자치도 홍천군 홍천읍 석화로 123,한식,"순대,순댓국",1278922999,376966595,127.8922999,37.6966595,59,,
,12592,화평대군,경상북도,영천시,경상북도 영천시 최무선로 212 화평대군 식당,한식,"육류,고기요리",1289243616,359629696,128.9243616,35.9629696,59,,
,789,한우촌,강원도,홍천군,강원특별자치도 홍천군 홍천읍 희망로 91,육류,정육식당,1278928226,376942578,127.8928226,37.6942578,58,,
,9282,한우촌,전남,담양군,전라남도 담양군 담양읍 삼거리길 18 담양군번영회,한식,소고기구이,1269829621,353106628,126.9829621,35.3106628,58,,
,9369,한우촌,전라북도,익산시,전북특별자치도 익산시 함라면 백제로 647 한우촌,한식,"육류,고기요리",1269163749,360689895,126.9163749,36.0689895,58,,
,10087,한우촌,전북,진안군,전북특별자치도 진안군 진안읍 대성길 8,한식,소고기구이,1274234389,357885133,127.4234389,35.7885133,58,,
,1970,진미식당,전남,곡성군,,중식,중식당,1272539149,351327280,127.2539149,35.132728,57,,
,4009,카페 유유재,강원도,정선군,강원특별자치도 정선군 정선읍 녹송로 55-6 1층 카페유유재,카페,베이커리,1286705581,373817099,128.6705581,37.3817099,57,,
,4775,진미식당,전남,나주시,전라남도 나주시 봉황면 금봉로 631 진미식당,한식,,1267923830,349628558,126.792383,34.9628558,57,,
,6563,진미식당,경상북도,고령군,경상북도 고령군 다산면 다산중앙길 16,한식,,1284541986,358244472,128.4541986,35.8244472,57,,
,8014,진미식당,전라남도,해남군,"전라남도 해남군 해남읍 남부순환로 13-5 진미식당소주방, 해마유흥주점",한식,조개요리,1266074249,345698582,126.6074249,34.5698582,57,,
